Comment,Theme
Sometimes the services are good but sometimes bad,Performance and availability concerns
"There should be a controlled authority for online services, then its good",Governance and responsible management
Good ,Positive service experience
Good,Positive service experience
It works most of the time which is great but sometimes it stops and I have no idea why.,General user experience
"Online services  are  very useful  for day to day  needs. e.g  for train  and flight ticket   booking, online purchase, online  banking and government services ect. So, when we use online services carefully it's good. ",Positive service experience
Good,Positive service experience
Make life easier with several services that we don't need to be there in person. ,General user experience
I'm only concerned about data safety ,General user experience
Good,Positive service experience
"My experience with online services has been generally good. They make many daily tasks easier and more convenient. Sometimes there are technical problems or delays or concerns about privacy and data security,which can be frustrating. Improving reliability and user support would make the experience better. 

But overall they have been helpful.",Performance and availability concerns
Good,Positive service experience
No,General user experience
Good,Positive service experience
I am finding my online service provider is better. Good. ,Positive service experience
"Services can provide more information about their services and other option. Like what we discussed, being slow during certain time, also other informations like users visited, their geography, age groups, purpose, the amount and type of information the services have, their sources, approvals, regulations etc. ",Performance and availability concerns
Good ,Positive service experience
Bad,Performance and availability concerns
Good ,Positive service experience
Nothing ,General user experience
"Any technology should be in favour and easy to the users with more safety. 
Nowadays technologies are not given secure feelings ",General user experience
I use online services occasionally and i agree to the fact that in future most companies would be using those services but there would be a big competition when it comes to speed reliability security and cost of using those services and a balance is what is needed. ,General user experience
"Mostly good! They're convenient and helpful, but slow support can be a bit frustrating sometimes",Performance and availability concerns
Good ,Positive service experience
Good,Positive service experience
Good service attract a lot of customers.,Positive service experience
Good,Positive service experience
Mostly good,Positive service experience
Service depends on customer point of view,General user experience
"Overall, my experience   has been good, but some  services need  better customer  support .",Positive service experience
"My service is better, still provider can improve it.  ",General user experience
Big companies with huge servers often are better at these than others who are smaller servers.,General user experience
"My experience  with online services  is good. Sometimes  face technical issues and slow  responses.
 ",Performance and availability concerns
Good ,Positive service experience
Bad,Performance and availability concerns
Good ,Positive service experience
Good ,Positive service experience
Technology companies must upgrade their services on demand and implement innovative ideas to sustain in the competitive market. ,General user experience
